ID;title;author_ID;descr;stock;price;currency_code;BusinessValidFrom;BusinessValidTo;publisher_ID
58;The Handmaid's Tale;58;Herman Melville;0;85.59;EUR;2000-01-01;9999-01-01;1
59;Alice Adventures in Wonderland;59;Mark Twain;2;27.80;EUR;2000-01-01;9999-01-01;1
60;Wuthering Heights;60;Nathaniel Hawthorne;5;44.58;EUR;2000-01-01;9999-01-01;1
61;Tess of the d'Urbervilles;61;John Steinbeck;4;92.53;EUR;2000-01-01;9999-01-01;1
62;Don Quixote;62;Mary Shelley;8;62.48;EUR;2000-01-01;9999-01-01;1
63;Vanity Fair;63;J. R. R. Tolkien;1;66.91;EUR;2000-01-01;9999-01-01;1
64;The Red and the Black;64;Paulo Coelo;6;55.45;EUR;2000-01-01;9999-01-01;1
65;The Sound and the Fury;65;Mary Shelley;2;88.84;EUR;2000-01-01;9999-01-01;1
66;David Copperfield;66;Alexander Pushkin;4;76.90;EUR;2000-01-01;9999-01-01;1
67;The Grapes of Wrath;67;Paulo Coelo;4;24.88;EUR;2000-01-01;9999-01-01;1
68;Anna Karenina;68;Cormac McCarthy;7;39.32;EUR;2000-01-01;9999-01-01;1
69;The Brothers Karamazov ;69;Nathaniel Hawthorne;6;15.43;EUR;2000-01-01;9999-01-01;1
70;One Thousand and One Nights;70;F. Scott Fitzgerald;3;7.12;EUR;2000-01-01;9999-01-01;1
71;Ulysses;71;Jane Austen;6;50.32;EUR;2000-01-01;9999-01-01;1
72;The Brothers Karamazov ;72;Jane Austen;7;91.02;EUR;2000-01-01;9999-01-01;1
73;Robinson Crusoe;73;Danielle Steel;8;41.00;EUR;2000-01-01;9999-01-01;1
74;Don Quixote;74;Rachel Hollis;8;22.02;EUR;2000-01-01;9999-01-01;1
75;The Sun Also Rises;75;Jules Verne;6;80.76;EUR;2000-01-01;9999-01-01;1
76;The Lord of The Rings;76;Emily Dickinson;7;46.43;EUR;2000-01-01;9999-01-01;1
77;The Metamorphosis;77;Robert Frost;6;48.17;EUR;2000-01-01;9999-01-01;1
78;One Hundred Years of Solitude;78;Jules Verne;4;97.02;EUR;2000-01-01;9999-01-01;1
79;Emma;79;F. Scott Fitzgerald;4;36.33;EUR;2000-01-01;9999-01-01;1
80;Gone With the Wind;80;Nathaniel Hawthorne;4;34.46;EUR;2000-01-01;9999-01-01;1
81;Lord of the Flies;81;Ray Bradbury;7;19.42;EUR;2000-01-01;9999-01-01;1
82;Pride and Prejudice;82;Stephen King;0;0.52;EUR;2000-01-01;9999-01-01;1
83;The Sun Also Rises;83;Stephenie Meyer;2;1.31;EUR;2000-01-01;9999-01-01;1
84;The Divine Comedy;84;Stephenie Meyer;4;54.51;EUR;2000-01-01;9999-01-01;1
85;The Canterbury Tales;85;C.S. Lewis;6;80.51;EUR;2000-01-01;9999-01-01;1
86;Don Quixote;86;Flannery O'Connor;1;6.23;EUR;2000-01-01;9999-01-01;1
87;Wuthering Heights;87;William Faulkner;5;5.54;EUR;2000-01-01;9999-01-01;1
88;To the Lighthouse;88;Carlos Ruiz Zafon;6;96.13;EUR;2000-01-01;9999-01-01;1
89;One Hundred Years of Solitude;89;Ralph Waldo Emerson;8;12.79;EUR;2000-01-01;9999-01-01;1
90;The Magic Mountain;90;John Steinbeck;5;52.85;EUR;2000-01-01;9999-01-01;1
91;The Grapes of Wrath;91;Herman Melville;3;55.77;EUR;2000-01-01;9999-01-01;1
92;To the Lighthouse;92;Robert Frost;6;64.28;EUR;2000-01-01;9999-01-01;1
93;The Red and the Black;93;Jane Austen;6;96.95;EUR;2000-01-01;9999-01-01;1
94;One Thousand and One Nights;94;T. S. Eliot;7;55.58;EUR;2000-01-01;9999-01-01;1
95;Gulliver's Travels;95;G.R.R. Martin;8;18.53;EUR;2000-01-01;9999-01-01;1
96;The Great Gatsby;96;Alexander Pushkin;3;69.89;EUR;2000-01-01;9999-01-01;1
97;War and Peace;97;J. R. R. Tolkien;1;83.86;EUR;2000-01-01;9999-01-01;1
98;Gargantua and Pantagruel;98;Jane Austen;1;16.81;EUR;2000-01-01;9999-01-01;1
99;Ulysses;99;Walt Whitman;7;67.41;EUR;2000-01-01;9999-01-01;1
100;The Sun Also Rises;100;Ray Bradbury;4;81.97;EUR;2000-01-01;9999-01-01;1
101;Oedipus;101;Flannery O'Connor;6;79.85;EUR;2000-01-01;9999-01-01;1
102;The Sound and the Fury;102;J. R. R. Tolkien;2;55.34;EUR;2000-01-01;9999-01-01;1
103;Oedipus;103;Alexander Pushkin;0;94.16;EUR;2000-01-01;9999-01-01;1
104;Game of Thrones;104;F. Scott Fitzgerald;8;68.80;EUR;2000-01-01;9999-01-01;1
105;Emma;105;Emily Dickinson;0;37.78;EUR;2000-01-01;9999-01-01;1
106;The Scarlet Letter;106;T. S. Eliot;4;78.01;EUR;2000-01-01;9999-01-01;1
107;The Scarlet Letter;107;Danielle Steel;6;16.19;EUR;2000-01-01;9999-01-01;1
108;The Sound and the Fury;108;Stephenie Meyer;2;13.56;EUR;2000-01-01;9999-01-01;1
109;Lord of the Flies;109;Mary Shelley;3;16.71;EUR;2000-01-01;9999-01-01;1
110;The Odyssey;110;Danielle Steel;6;24.48;EUR;2000-01-01;9999-01-01;1
111;The Odyssey;111;Dr. Seuss;2;30.95;EUR;2000-01-01;9999-01-01;1
112;Wuthering Heights;112;Bella Forrest;3;49.38;EUR;2000-01-01;9999-01-01;1
113;The Great Gatsby;113;J. R. R. Tolkien;0;52.62;EUR;2000-01-01;9999-01-01;1
114;Gone With the Wind;114;Rachel Hollis;2;9.87;EUR;2000-01-01;9999-01-01;1
115;Invisible Man;115;Jules Verne;6;74.36;EUR;2000-01-01;9999-01-01;1
116;Alice Adventures in Wonderland;116;C.S. Lewis;1;34.07;EUR;2000-01-01;9999-01-01;1
117;The Grapes of Wrath;117;Guillaume Musso;5;16.79;EUR;2000-01-01;9999-01-01;1
118;Gulliver's Travels;118;William Shakespeare;3;41.75;EUR;2000-01-01;9999-01-01;1
119;Wuthering Heights;119;Carlos Ruiz Zafon;2;44.49;EUR;2000-01-01;9999-01-01;1
120;David Copperfield;120;Doris Lessing;7;35.45;EUR;2000-01-01;9999-01-01;1
